Time,Input,Intermediate,Output
5.1256e-05,-0.12500001,0.7916666,-0.625
5.1258e-05,-0.14583334,0.7708333,-0.625
5.1259999999999994e-05,-0.16666667,0.7916666,-0.625
5.1262e-05,-0.14583334,0.7708333,-0.6041666
5.1264e-05,-0.14583334,0.7916666,-0.625
5.126599999999999e-05,-0.14583334,0.7916666,-0.625
5.1268e-05,-0.16666667,0.7916666,-0.625
5.127e-05,-0.14583334,0.7916666,-0.625
5.127199999999999e-05,-0.14583334,0.7708333,-0.625
5.1274e-05,-0.16666667,0.7708333,-0.625
5.1276e-05,-0.14583334,0.7916666,-0.625
5.127799999999999e-05,-0.14583334,0.7708333,-0.625
5.128e-05,-0.12500001,0.7916666,-0.625
5.1282e-05,-0.14583334,0.7708333,-0.6458333
5.128399999999999e-05,-0.14583334,0.7916666,-0.6458333
5.1285999999999997e-05,-0.12500001,0.7708333,-0.625
5.1288e-05,-0.14583334,0.7708333,-0.6041666
5.128999999999999e-05,-0.14583334,0.7916666,-0.625
5.1291999999999996e-05,-0.16666667,0.7708333,-0.6458333
5.1294e-05,-0.14583334,0.7708333,-0.6458333
5.1296000000000005e-05,-0.14583334,0.7708333,-0.625
5.1297999999999996e-05,-0.14583334,0.7916666,-0.6458333
5.13e-05,-0.14583334,0.7708333,-0.6458333
5.1302000000000004e-05,-0.14583334,0.7708333,-0.625
5.1303999999999995e-05,-0.14583334,0.7708333,-0.625
5.1306e-05,-0.14583334,0.7916666,-0.625
5.1308000000000004e-05,-0.14583334,0.7916666,-0.625
5.1309999999999995e-05,-0.16666667,0.7708333,-0.625
5.1312e-05,-0.14583334,0.7708333,-0.6458333
5.1314000000000004e-05,-0.12500001,0.7916666,-0.625
5.1315999999999995e-05,-0.14583334,0.7916666,-0.6458333
5.1318e-05,-0.14583334,0.7708333,-0.625
5.132e-05,-0.14583334,0.7916666,-0.625
5.1321999999999994e-05,-0.14583334,0.7708333,-0.6458333
5.1324e-05,-0.14583334,0.7916666,-0.6458333
5.1326e-05,-0.14583334,0.7916666,-0.625
5.1327999999999994e-05,-0.14583334,0.7916666,-0.625
5.133e-05,-0.14583334,0.7916666,-0.625
5.1332e-05,-0.14583334,0.7916666,-0.6458333
5.133399999999999e-05,-0.16666667,0.7708333,-0.625
5.1336e-05,-0.14583334,0.7916666,-0.625
5.1338e-05,-0.16666667,0.7916666,-0.625
5.133999999999999e-05,-0.12500001,0.7916666,-0.625
5.1342e-05,-0.14583334,0.7708333,-0.625
5.1344e-05,-0.16666667,0.7916666,-0.625
5.134599999999999e-05,-0.14583334,0.7916666,-0.625
5.1348e-05,-0.16666667,0.7916666,-0.625
5.135e-05,-0.14583334,0.7708333,-0.625
5.135199999999999e-05,-0.14583334,0.7916666,-0.6458333
5.1353999999999997e-05,-0.14583334,0.7708333,-0.625
5.1356e-05,-0.14583334,0.7916666,-0.6458333
5.135799999999999e-05,-0.16666667,0.7708333,-0.625
5.1359999999999996e-05,-0.14583334,0.7708333,-0.625
5.1362e-05,-0.14583334,0.7916666,-0.625
