Time,Input,Output
6.40E-07,0.020833334,0
6.42E-07,0,0
6.44E-07,0,0
6.46E-07,0,0
6.48E-07,0,0
6.50E-07,0,-0.020833334
6.52E-07,0,0
6.54E-07,0,-0.020833334
6.56E-07,0,0
6.58E-07,0.020833334,-0.020833334
6.60E-07,0,0
6.62E-07,0,0
6.64E-07,0,-0.020833334
6.66E-07,0.020833334,-0.020833334
6.68E-07,-0.020833334,-0.020833334
6.70E-07,0,-0.020833334
6.72E-07,0.020833334,-0.020833334
6.74E-07,0,-0.020833334
6.76E-07,0,0
6.78E-07,0,-0.020833334
6.80E-07,0,0
6.82E-07,0.020833334,0
6.84E-07,0,0
6.86E-07,-0.020833334,0
6.88E-07,0,0
6.90E-07,0.020833334,0
6.92E-07,0.020833334,0
6.94E-07,0,-0.020833334
6.96E-07,0,0
6.98E-07,0,0
7.00E-07,0.020833334,0
7.02E-07,0,-0.020833334
7.04E-07,0,-0.020833334
7.06E-07,0,-0.020833334
7.08E-07,-0.020833334,0
7.10E-07,0,-0.020833334
7.12E-07,0.020833334,-0.020833334
7.14E-07,0.020833334,-0.020833334
7.16E-07,0,0
7.18E-07,0,-0.020833334
7.20E-07,0,0
7.22E-07,0.020833334,-0.020833334
7.24E-07,0,0.020833334
7.26E-07,0,-0.020833334
7.28E-07,0.020833334,0
7.30E-07,0,0
7.32E-07,0.020833334,0
7.34E-07,0,-0.020833334
7.36E-07,0,-0.020833334
7.38E-07,0.020833334,-0.020833334
7.40E-07,0,0
7.42E-07,-0.020833334,-0.020833334
7.44E-07,0,0
7.46E-07,0,0
7.48E-07,-0.020833334,-0.020833334
7.50E-07,-0.020833334,-0.020833334
7.52E-07,0,0
7.54E-07,0.020833334,0
7.56E-07,0,0
7.58E-07,0.020833334,0
7.60E-07,0,0
7.62E-07,0.020833334,-0.020833334
7.64E-07,0,-0.020833334
7.66E-07,0,0
7.68E-07,0,0
7.70E-07,0,-0.020833334
7.72E-07,0.020833334,0
7.74E-07,0,0
7.76E-07,0,0
7.78E-07,0,0
7.80E-07,0,0
7.82E-07,0,-0.020833334
7.84E-07,0.020833334,0
7.86E-07,0.020833334,-0.020833334
7.88E-07,0.020833334,0
7.90E-07,0,0
7.92E-07,0,0
